Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
5,lucene,,0.734,25.88,172,860,832,0.9674418604651163,0.7205689024915999,0.7924743184150347,0.9558603454078426,0.02654167619434796,0.04300256149030163,0.043455760970295854
5,lucene-svd-blend,0.9,12.502,29.631,172,860,860,1.0,0.7157628256365557,0.792476871223375,0.97353878650092,0.027162548118668636,0.043398286770401306,0.045619254852459025
5,lucene-svd-blend,1.0,41.795,29.634,172,860,860,1.0,0.7235002180139951,0.8017336775089118,0.9728613207401793,0.026535302923469842,0.04298997717539173,0.043443176655385954
1,ii,,23.259,71.409,173,865,865,1.0,0.6600969890235535,0.7353422742158678,0.9718185724666654,0.03099358112490601,0.0558533482997056,0.056163009736534666
5,lucene-svd-blend,0.8,0.135,27.631,172,860,860,1.0,0.7094687980331832,0.7850154141293331,0.9737523341541636,0.028104426286599163,0.0429243571908611,0.04754116480185475
1,svd,,24.708000000000002,0.652,173,865,865,1.0,0.6629067448704008,0.7369938400307605,0.9719763411290979,0.05603091546416335,0.10332770886252318,0.1055345716548941
5,ii-svd-blend,1.0,63.948,71.312,172,860,860,1.0,0.7034663676469421,0.7796884258675911,0.9736029026348798,0.03660796740429246,0.06274730606481256,0.06947217604207652
5,ii-svd-blend,0.9,0.267,71.197,172,860,860,1.0,0.7016812844226211,0.7776578958634756,0.9736690136810574,0.03624797040642587,0.06586137206007246,0.07151879603144992
5,lucene-svd-blend,0.7,0.043000000000000003,26.418,172,860,860,1.0,0.7046861751785398,0.7794008703112535,0.9737661598288317,0.031525955090576256,0.048936910778744076,0.052812879770992145
5,ii-svd-blend,0.8,0.199,70.75,172,860,860,1.0,0.7005609666865711,0.7763855497086432,0.9741773053114713,0.03696635796050177,0.06569038596042878,0.07092179053776358
5,lucene-svd-blend,0.6,0.039,30.954,172,860,860,1.0,0.7014459823497217,0.7756733462533458,0.9739835243935828,0.03481967157532737,0.05449784557697999,0.05796721782200202
5,ii-svd-blend,0.7,0.095,83.402,172,860,860,1.0,0.7001154557179817,0.7758751174155746,0.9746771817933602,0.039715407277346355,0.06466725015342038,0.07200239724147445
5,lucene-svd-blend,0.5,0.04,39.226,172,860,860,1.0,0.699756811257579,0.7738601105874492,0.9728401417313196,0.03744175300228611,0.06009919181646417,0.06427944589560601
1,ii-svd-blend,0,44.915,91.19800000000001,173,865,865,1.0,0.6608457640942438,0.7303966396647297,0.974028462991265,0.053475103558062904,0.08758255049685797,0.09554615742691377
5,ii-svd-blend,0.6,0.129,85.059,172,860,860,1.0,0.7003549750934606,0.7761281022379793,0.9733978658922727,0.03879318952282434,0.06671897248459244,0.07099407399806604
5,lucene-svd-blend,0.4,0.033,29.076,172,860,860,1.0,0.699643852700147,0.7739746175770927,0.9731531345273587,0.03813956644240209,0.060084657187486464,0.06377016231883002
1,lucene-svd-blend,0,0.056,31.684,173,865,865,1.0,0.6608457640942438,0.7303966396647297,0.974028462991265,0.053475103558062904,0.08758255049685797,0.09554615742691377
5,lucene-svd-blend,0.3,0.032,30.796,172,860,860,1.0,0.7011556653251815,0.7760160138640362,0.9743245924463694,0.03878202661528239,0.06781744799118962,0.07107259078121614
5,ii-svd-blend,0.5,0.26,76.513,172,860,860,1.0,0.701280781254158,0.777143758627115,0.9738927055617282,0.038878068539504464,0.06271759060953355,0.06687251191561765
5,ii-svd-blend,0.4,0.197,80.714,172,860,860,1.0,0.7028816081939357,0.7789191031765031,0.9739742684286423,0.038425724931433994,0.06274650659698687,0.06685978146670765
5,lucene-svd-blend,0.2,0.112,33.464,172,860,860,1.0,0.7043476137177652,0.7799691699790968,0.9745466608319427,0.0379751442440429,0.06360064022085225,0.06676234447267279
5,lucene-svd-blend,0.1,0.058,27.831,172,860,860,1.0,0.709237404918634,0.785805233939662,0.9741225292067843,0.037208368020462304,0.05233535469639188,0.05393895135812808
5,ii-svd-blend,0.3,0.133,78.199,172,860,860,1.0,0.70514194098169,0.7814489581822684,0.9739501101702008,0.037743467021840345,0.05705630498073767,0.05802424853589053
1,ii-svd-blend,0.1,0.187,86.57000000000001,173,865,865,1.0,0.6573531044152674,0.7272419729390146,0.9743204396848887,0.05489325727169023,0.09038721342198301,0.09812895559316395
5,lucene-svd-blend,0,0.05,28.62,172,860,860,1.0,0.7157822843287881,0.7934826604789073,0.9743099925701575,0.0352113681947361,0.04969888162103929,0.05067227837931976
1,lucene-svd-blend,0.1,0.076,29.888,173,865,865,1.0,0.6558658488374816,0.7267610049491203,0.9756355765240508,0.05801196142841887,0.09433874400086718,0.10225771327821796
5,ii-svd-blend,0.2,0.151,71.83500000000001,172,860,860,1.0,0.7080497986732722,0.7847260263465675,0.974160940299851,0.03680249713318983,0.053466169424794784,0.054248074857863
5,svd,,22.059,0.58,172,860,860,1.0,0.7193293541501647,0.796370338432411,0.9709653295488432,0.03983500081323257,0.061979790991146935,0.06583049200372065
5,ii-svd-blend,0.1,0.078,71.032,172,860,860,1.0,0.711597981675763,0.788740994140568,0.9744970895109328,0.035255278288144405,0.04936866707494346,0.050184025811813825
4,lucene,,0.08600000000000001,27.375,172,860,823,0.9569767441860465,0.7244613076278583,0.8118080795371392,0.9467523277223002,0.030321494572683086,0.0471853579729847,0.04746267314576767
5,ii-svd-blend,0,0.1,72.31,172,860,860,1.0,0.7157822843287881,0.7934826604789073,0.9743099925701575,0.0352113681947361,0.04969888162103929,0.05067227837931976
1,ii-svd-blend,0.2,0.09,75.796,173,865,865,1.0,0.6545676230795701,0.7248899716076513,0.9736525183573521,0.054686007174717964,0.10014552385532345,0.10522954844041282
5,ii,,0.054,64.486,172,860,860,1.0,0.7034663676469421,0.7796884258675911,0.9736029026348798,0.03660796740429246,0.06274730606481256,0.06947217604207652
1,lucene-svd-blend,0.2,0.021,21.032,173,865,865,1.0,0.6523334348179316,0.7246791455661992,0.9765051391831145,0.06112069083943081,0.09877485002098003,0.10681725002529778
4,lucene-svd-blend,0.9,6.8500000000000005,28.552,172,860,860,1.0,0.7282457458217912,0.8120542027976286,0.9690255836982639,0.03189497488719607,0.04915824532935508,0.049594753265863024
4,lucene-svd-blend,1.0,32.522,28.667,172,860,860,1.0,0.7351969213212197,0.8195952230468805,0.969606984485938,0.030321494572683086,0.0471853579729847,0.04746267314576767
4,lucene-svd-blend,0.8,0.028,27.686,172,860,860,1.0,0.7225762270816778,0.8060146023939915,0.9697931532556973,0.03394851524473031,0.052793777509919766,0.05320098496654583
1,ii-svd-blend,0.3,0.049,75.122,173,865,865,1.0,0.6525076459678125,0.7233484654251101,0.9736688657858826,0.055272259823479684,0.100636408252731,0.10419871274673614
4,ii-svd-blend,1.0,49.204,73.425,172,860,860,1.0,0.7216248300609337,0.8160006882210507,0.9695968199486964,0.027160143379920558,0.04304084989658612,0.04721774815841866
4,ii-svd-blend,0.9,0.073,73.968,172,860,860,1.0,0.7188068421786209,0.8119668016816944,0.9696247486105999,0.028798406632035947,0.04572935843216984,0.04961413644485483
1,lucene-svd-blend,0.3,0.042,28.257,173,865,865,1.0,0.6503107452432247,0.7241644622219683,0.9765832509513691,0.06193199604021461,0.11150383046954018,0.1179028962871711
4,lucene-svd-blend,0.7,0.035,28.062,172,860,860,1.0,0.718229021086085,0.8015103633855406,0.970067419740295,0.0412160482687329,0.06528451597323151,0.06518506676882517
4,ii-svd-blend,0.8,0.084,73.89,172,860,860,1.0,0.7167290537073489,0.8087710210232346,0.9703204731193793,0.031982394150066304,0.049075614633062335,0.05228695432696018
4,lucene-svd-blend,0.6,0.024,28.7,172,860,860,1.0,0.7152441236041405,0.7985674663467857,0.9698298849758851,0.04134680613340396,0.0728354035293635,0.07390864269189741
4,ii-svd-blend,0.7,0.066,75.781,172,860,860,1.0,0.7153958216476981,0.8064233103144562,0.9700729307942514,0.034111153354658315,0.05655309287995225,0.05974384592535646
4,lucene-svd-blend,0.5,0.024,28.717000000000002,172,860,860,1.0,0.7136563472119556,0.7972032026727268,0.970278658867776,0.04314633265966558,0.07728489872380724,0.07854414819526599
1,ii-svd-blend,0.4,0.074,77.531,173,865,865,1.0,0.6511903389875489,0.722622641280213,0.9747715749577047,0.05181715517708704,0.09463718588908147,0.09732073151720379
4,ii-svd-blend,0.6,0.082,75.602,172,860,860,1.0,0.7148089703956342,0.8049310901859112,0.9696330460108955,0.035010099648228064,0.057836838454143516,0.06096739652656205
4,lucene-svd-blend,0.4,0.021,27.248,172,860,860,1.0,0.7134897955726193,0.7974256747476888,0.9706735363233919,0.04496637258960946,0.07287959837310745,0.07632062882058382
1,lucene-svd-blend,0.4,0.029,28.476,173,865,865,1.0,0.6498485429655974,0.725220291562973,0.9779497958950752,0.06032625259188609,0.09920109466343295,0.10324203370097178
4,lucene-svd-blend,0.3,0.052000000000000005,31.081,172,860,860,1.0,0.7147549852140085,0.7992335575368354,0.9713491766151158,0.04422881748141268,0.07232476833122832,0.07646217646572946
4,ii-svd-blend,0.5,0.094,76.583,172,860,860,1.0,0.7149694440440021,0.8042991222393745,0.9701405087956418,0.03858162514146669,0.06085923188369171,0.06388995074353092
4,lucene-svd-blend,0.2,0.032,28.580000000000002,172,860,860,1.0,0.7174502663578715,0.802616137758388,0.9700362081816948,0.04169847036659856,0.06707925148547733,0.07055182864991495
4,ii-svd-blend,0.4,0.064,77.892,172,860,860,1.0,0.7158786853898164,0.8045294336939887,0.96965944493608,0.0383960950074312,0.06366750003323518,0.0662162653573983
1,ii-svd-blend,0.5,0.077,78.798,173,865,865,1.0,0.6506327625168018,0.7227149567506751,0.9742889574183013,0.05183671025442689,0.0950191899669303,0.09794302196250661
4,lucene-svd-blend,0.1,0.026000000000000002,27.773,172,860,860,1.0,0.721565021027213,0.8075536279643735,0.96978429672315,0.041718301183114585,0.0668428194695365,0.0702054532827517
4,ii-svd-blend,0.3,0.074,74.76,172,860,860,1.0,0.7175394772489502,0.8056212850233702,0.9689535614132321,0.040446996860892044,0.06250511285750307,0.06644021522283798
1,lucene-svd-blend,0.5,0.018000000000000002,28.351,173,865,865,1.0,0.6509746168219043,0.7278397989028279,0.9778265094418732,0.05767142608010575,0.09375112421287894,0.09674801029187292
4,lucene-svd-blend,0,0.023,27.749000000000002,172,860,860,1.0,0.7270813182451713,0.8140177343508418,0.9675976652040833,0.03748462682406514,0.05825716407386057,0.06188662569750825
4,ii-svd-blend,0.2,0.085,73.987,172,860,860,1.0,0.7199562476482256,0.8075711817810464,0.9686296559148321,0.04051313999204891,0.05871188968061551,0.06265699738299067
4,svd,,20.778,0.549,172,860,860,1.0,0.7186504542332428,0.8041602534108844,0.9709817050067077,0.035932200232660576,0.052946729195353766,0.0589882492554532
4,ii-svd-blend,0.1,0.066,73.7,172,860,860,1.0,0.7231348102299279,0.8103729301757061,0.9683583270750635,0.03870632461423625,0.05909955037824841,0.06381220690776541
1,ii-svd-blend,0.6,0.085,75.706,173,865,865,1.0,0.6508549385994975,0.7236250987174775,0.9738903305124949,0.04725097277467871,0.0838858951396756,0.0866048794984531
4,ii-svd-blend,0,0.066,73.443,172,860,860,1.0,0.7270813182451713,0.8140177343508418,0.9675976652040833,0.03748462682406514,0.05825716407386057,0.06188662569750825
3,lucene,,0.051000000000000004,25.907,172,860,832,0.9674418604651163,0.7005453147072979,0.7678848597043966,0.9558754793930406,0.02614842099045603,0.03221530023724715,0.03332730762490432
1,lucene-svd-blend,0.6,0.02,28.117,173,865,865,1.0,0.653687586015273,0.7320061974204245,0.9767177975475708,0.05086533358122493,0.08582398670544485,0.08912541687788202
4,ii,,0.051000000000000004,72.561,172,860,860,1.0,0.7216248300609337,0.8160006882210507,0.9695968199486964,0.027160143379920558,0.04304084989658612,0.04721774815841866
3,lucene-svd-blend,0.9,2.975,27.928,172,860,860,1.0,0.7038218610955581,0.7718835714309137,0.9735553109125276,0.03365488680578069,0.04233518172813658,0.043994812472069655
3,lucene-svd-blend,1.0,40.639,27.954,172,860,860,1.0,0.7124613716039048,0.7813501698890979,0.9737814874513229,0.026519904461936035,0.03255729750126903,0.03366930488892621
1,ii-svd-blend,0.7,0.066,72.908,173,865,865,1.0,0.6518854150380888,0.7253499886530889,0.9738207132547503,0.04693332924043164,0.07878498820426914,0.08168059427146024
3,lucene-svd-blend,0.8,0.021,28.443,172,860,860,1.0,0.696535107212846,0.7639615349961065,0.9739667826681461,0.04047225741530372,0.05621566519475835,0.05916468645773309
1,lucene-svd-blend,0.7,0.018000000000000002,34.346000000000004,173,865,865,1.0,0.6579636844921845,0.7376932776430085,0.976211349694045,0.04621028867863314,0.07287931145779662,0.07606054213965562
3,ii-svd-blend,1.0,39.272,76.995,172,860,860,1.0,0.6960653539523858,0.7632275612598319,0.9728421270351107,0.04035154732488327,0.06383138468351546,0.06436274522182747
3,lucene-svd-blend,0.7,0.027,30.018,172,860,860,1.0,0.690629955235065,0.757632513367606,0.974586176372953,0.04845266357922052,0.0775031910796705,0.0802702832286476
3,ii-svd-blend,0.9,0.10300000000000001,79.465,172,860,860,1.0,0.6922540192807335,0.7594576608070305,0.9734749156048758,0.047221348924582754,0.07370535291613943,0.07763125404139795
3,lucene-svd-blend,0.6,0.02,26.681,172,860,860,1.0,0.6861347291645945,0.7529366792229392,0.9744673015364576,0.05617415385535875,0.08825726053792834,0.09307033344693148
3,ii-svd-blend,0.8,0.099,77.898,172,860,860,1.0,0.6891205435748028,0.7564407073464091,0.9734462420971002,0.05291459221908897,0.08370749158642965,0.0878863934036623
1,ii-svd-blend,0.8,0.095,78.307,173,865,865,1.0,0.653762460972469,0.7278838343764773,0.9720821749536424,0.03979384293092527,0.06797235797512988,0.07080335164427383
3,lucene-svd-blend,0.5,0.021,28.269000000000002,172,860,860,1.0,0.6830777522869469,0.7499047137978684,0.9740137693344169,0.06194265705370241,0.09951267233113087,0.10658894645686862
3,ii-svd-blend,0.7,0.073,72.086,172,860,860,1.0,0.6866813836730606,0.7541857369265074,0.9736155565222616,0.05584354163053866,0.08796261796869097,0.09217159104885003
1,lucene-svd-blend,0.8,0.02,30.347,173,865,865,1.0,0.6637682447298813,0.7448662090068489,0.9755865072098655,0.039313972577143974,0.059981045372734056,0.0629706725392901
3,lucene-svd-blend,0.4,0.025,27.743000000000002,172,860,860,1.0,0.6814881138925962,0.7485568354391683,0.9743214131399499,0.07102210270103466,0.11580417532744519,0.1263573506472974
3,ii-svd-blend,0.6,0.068,72.89,172,860,860,1.0,0.6849524290630954,0.7526995979249724,0.9736986007514052,0.06496677035898818,0.10376445891160575,0.10602004184096829
3,lucene-svd-blend,0.3,0.019,26.87,172,860,860,1.0,0.6813963988836255,0.7489021372907044,0.9742232322951466,0.07362870061793271,0.11712669486456294,0.1245858038230599
3,ii-svd-blend,0.5,0.096,71.345,172,860,860,1.0,0.6839489470476091,0.751986848641547,0.9736217426390428,0.06878069460261763,0.11576085139201439,0.1228956865860601
1,ii-svd-blend,0.9,0.113,74.977,173,865,865,1.0,0.6565082564188041,0.7312182262612024,0.9718051843338823,0.0356763418033233,0.060925796446869906,0.0638425517197448
3,lucene-svd-blend,0.2,0.021,26.985,172,860,860,1.0,0.682833110449205,0.7509382836451418,0.973729075789462,0.07485839866664391,0.12708384920843582,0.13691498396714555
3,ii-svd-blend,0.4,0.064,69.737,172,860,860,1.0,0.6836861213558466,0.7520496880018421,0.9733225829676925,0.06855773910713515,0.12163960078559567,0.12635347312326395
1,lucene-svd-blend,0.9,0.02,28.377,173,865,865,1.0,0.6710609493511945,0.7534825581150234,0.9744730168662834,0.038481083095121174,0.057934141994542866,0.06025824055079036
3,ii-svd-blend,0.3,0.065,72.71000000000001,172,860,860,1.0,0.6841799094641725,0.7528879218036939,0.9730278856569858,0.0701961364656265,0.12799007764911338,0.1341630492930082
3,lucene-svd-blend,0.1,0.022,30.185000000000002,172,860,860,1.0,0.685819952053301,0.7546515882834156,0.9725365322903174,0.07371625851226163,0.12209666695304669,0.1339037378523193
3,lucene-svd-blend,0,0.019,27.814,172,860,860,1.0,0.6903548522132518,0.7600174687485126,0.9716990852259855,0.07069433861569707,0.11856727037922389,0.12942354028730638
3,ii-svd-blend,0.2,0.078,73.84700000000001,172,860,860,1.0,0.6854472444369274,0.7544989657067103,0.9718359580510901,0.07167692575804148,0.12811990473986729,0.13630168238005178
3,svd,,20.869,0.503,172,860,860,1.0,0.7007397702460337,0.7703642813514929,0.9718975284470692,0.0632451036501588,0.10678730947905098,0.11559821756321488
1,ii-svd-blend,1.0,0.066,77.337,173,865,865,1.0,0.6600969890235535,0.7353422742158678,0.9718185724666654,0.03099358112490601,0.0558533482997056,0.056163009736534666
3,ii-svd-blend,0.1,0.07,70.938,172,860,860,1.0,0.6875034428836004,0.7568778848582505,0.9715199248963713,0.07220032693755599,0.12329888499883444,0.13469018062041316
1,lucene-svd-blend,1.0,0.027,30.674,173,865,865,1.0,0.6797937855754761,0.7634934577779035,0.9742501528955794,0.03504858186221625,0.050056304190012724,0.05242204513196297
3,ii-svd-blend,0,0.069,71.414,172,860,860,1.0,0.6903548522132518,0.7600174687485126,0.9716990852259855,0.07069433861569707,0.11856727037922389,0.12942354028730638
2,lucene,,0.069,26.46,173,865,830,0.9595375722543352,0.7197768091196333,0.8078429097030883,0.9522643401824067,0.03624045286760865,0.050627014524047075,0.05392272610073379
1,lucene,,0.007,24.137,173,865,833,0.9630057803468208,0.6742591224293798,0.7556741823418733,0.9570086384213614,0.0350537662897084,0.05006881576321793,0.05242204513196297
3,ii,,0.065,66.544,172,860,860,1.0,0.6960653539523858,0.7632275612598319,0.9728421270351107,0.04035154732488327,0.06383138468351546,0.06436274522182747
2,lucene-svd-blend,1.0,30.116,27.067,173,865,865,1.0,0.7298378315171146,0.8170941285640658,0.9724513087313845,0.03624045286760865,0.050627014524047075,0.05392272610073379
2,lucene-svd-blend,0.9,13.446,27.401,173,865,865,1.0,0.7210983504808879,0.8078097188837666,0.9732531038398442,0.03858871652912239,0.05560926320688095,0.05750993985871831
2,lucene-svd-blend,0.8,0.019,27.080000000000002,173,865,865,1.0,0.7139316672633201,0.800120586262368,0.9748772954638182,0.043786678898665,0.06164617931219796,0.06442691698900767
2,ii,,14.091000000000001,68.118,173,865,865,1.0,0.6992443017175781,0.7839377244538343,0.973323342983621,0.03886960715685149,0.06237219688453215,0.06667560779324588
2,ii-svd-blend,1.0,27.216,71.084,173,865,865,1.0,0.6992443017175781,0.7839377244538343,0.973323342983621,0.03886960715685149,0.06237219688453215,0.06667560779324588
2,svd,,20.494,0.5690000000000001,173,865,865,1.0,0.7159596971994107,0.8000402973332782,0.973160557594092,0.049606229250732214,0.07336699961357313,0.07395667618063133
2,lucene-svd-blend,0.7,0.023,26.397000000000002,173,865,865,1.0,0.7083620428355571,0.7940730739970755,0.9751897796442773,0.04850555206512122,0.06807878910244598,0.07279217383536342
2,ii-svd-blend,0.9,0.08600000000000001,70.84,173,865,865,1.0,0.6971791212403898,0.7819606629263276,0.9746042553727445,0.04339943065626164,0.06782003529618133,0.07120243004926485
2,lucene-svd-blend,0.6,0.019,26.644000000000002,173,865,865,1.0,0.7043981853224742,0.7897048972762295,0.9746249473288779,0.05302400610632515,0.07680139021456672,0.0821539723452338
2,ii-svd-blend,0.8,0.059000000000000004,71.409,173,865,865,1.0,0.6959621032081836,0.7807716739590819,0.974868824997879,0.046711984276213904,0.07185805066837801,0.07584496410678679
2,lucene-svd-blend,0.5,0.019,27.269000000000002,173,865,865,1.0,0.7020395476369264,0.7870440180609466,0.9745983139643551,0.05696764442634338,0.08633042739378866,0.09015667500616344
2,ii-svd-blend,0,0.069,72.143,173,865,865,1.0,0.7146623858611254,0.7995629112279377,0.9731801368047317,0.05306529005095019,0.08046135793017448,0.08589375376339171
2,ii-svd-blend,0.7,0.066,72.388,173,865,865,1.0,0.6955851705367326,0.7803743597145616,0.9744014109327808,0.046775335024336874,0.07039529478647347,0.0762814061061108
2,lucene-svd-blend,0,0.022,26.967000000000002,173,865,865,1.0,0.7146623858611254,0.7995629112279377,0.9731801368047317,0.05306529005095019,0.08046135793017448,0.08589375376339171
2,lucene-svd-blend,0.4,0.026000000000000002,27.574,173,865,865,1.0,0.7012844368885746,0.7861077735257074,0.9746613291981335,0.05773525940717967,0.08619454042193159,0.09052261735800973
2,ii-svd-blend,0.6,0.068,73.014,173,865,865,1.0,0.6960329271265842,0.780769928783964,0.9744356555530715,0.048495531212345996,0.07691848950514994,0.08202347257940591
2,lucene-svd-blend,0.3,0.015,26.637,173,865,865,1.0,0.7021394326803951,0.7869023195277386,0.9751231010389206,0.059394638870657226,0.08900599044919226,0.09361435575119917
2,ii-svd-blend,0.5,0.07,72.527,173,865,865,1.0,0.6972840303043216,0.7819571778793779,0.9743092067994942,0.051849063279933515,0.08359436343258332,0.08987772764884915
2,lucene-svd-blend,0.2,0.03,26.771,173,865,865,1.0,0.7046283771516634,0.7894224300127848,0.9751827570511395,0.06002413256198073,0.08691245617962273,0.09257729044956806
2,ii-svd-blend,0.1,0.065,71.605,173,865,865,1.0,0.7097935846610555,0.79451650260755,0.9737317001459452,0.05496421698638113,0.08156298788324937,0.0868753772579002
2,ii-svd-blend,0.4,0.14,71.655,173,865,865,1.0,0.6993130709753903,0.7839325100614242,0.9738902135096226,0.05364183489364583,0.08714987185691354,0.09417884002673962
2,lucene-svd-blend,0.1,0.021,24.768,173,865,865,1.0,0.7087926349918326,0.7936516674114719,0.974618596506716,0.05589426648131457,0.08175546861278532,0.0870130511749009
2,ii-svd-blend,0.3,0.068,64.267,173,865,865,1.0,0.7020926529753478,0.7866899888619963,0.974114101492747,0.05645151429313558,0.08436113792580052,0.09089479401832488
2,ii-svd-blend,0.2,0.067,51.947,173,865,865,1.0,0.7055951174424111,0.7902214264182732,0.9737307801486754,0.0572683028026009,0.08438388799203549,0.0892212849900851
